Chỉ_tiêu,Đơn_vị_tính,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Tháng_1,%,3.8,0.9,0.8,1.6,1.7,0.4,0.3,1.1,0.9,1.1,1.1,1.2,1.1,2.4,0.32,1.36,1.74,1,1.25,0.69,-0.2,0,0.46,0.51,0.1,1.23,0.06,0.19,0.52
Tháng_2,%,3.4,2.5,1.8,2.2,1.9,1.6,0.4,2.2,2.2,3,2.5,2.1,2.2,3.6,1.17,1.96,2.09,1.37,1.32,0.55,-0.05,0.42,0.23,0.73,0.8,-0.17,1.52,1,0.45
Tháng_3,%,0.2,0.8,-0.5,-0.8,-0.7,-1.1,-0.7,-0.8,-0.6,0.8,0.1,-0.5,-0.2,3,-0.17,0.75,2.17,0.16,-0.19,-0.41,0.15,0.57,0.21,-0.27,-0.21,-0.72,-0.27,0.7,-0.23
Tháng_4,%,1,0.1,-0.6,1.6,-0.6,-0.7,-0.5,0,0,0.5,0.6,0.2,0.5,2.2,0.35,0.14,3.32,0.05,0.02,0.08,0.14,0.33,0,0.08,0.31,-1.54,-0.04,0.18,-0.34
Tháng_5,%,1.8,-0.5,-0.5,1.4,-0.4,-0.6,-0.2,0.3,-0.1,0.9,0.5,0.6,0.8,3.9,0.44,0.27,2.21,0.18,-0.06,0.2,0.16,0.54,-0.53,0.55,0.49,-0.03,0.16,0.38,0.01
Tháng_6,%,0.8,-0.5,0.1,0,-0.3,-0.5,0,0.1,-0.3,0.8,0.4,0.4,0.9,2.1,0.55,0.22,1.09,-0.26,0.05,1.38,0.35,0.46,-0.17,0.61,-0.09,0.66,0.19,0.69,0.27
Tháng_7,%,0,-0.7,0.2,-0.5,-0.4,-0.6,-0.2,-0.1,-0.3,0.5,0.4,0.4,0.9,1.1,0.52,0.06,1.17,-0.29,0.27,0.23,0.13,0.13,0.11,-0.09,0.18,0.4,0.62,0.4,0.45
Tháng_8,%,0.3,-0.4,0.1,1.1,-0.4,0.1,0,0.1,-0.1,0.6,0.4,0.4,0.6,1.6,0.24,0.23,0.93,0.63,0.83,0.22,-0.07,0.1,0.92,0.45,0.28,0.07,0.25,0,0.88
Tháng_9,%,0.5,0.3,0.6,1,-0.6,-0.2,0.5,0.2,0.1,0.3,0.8,0.3,0.5,0.2,0.62,1.31,0.82,2.2,1.06,0.4,-0.21,0.54,0.59,0.59,0.32,0.12,-0.62,0.4,1.08
Tháng_10,%,0.1,0.1,0.3,0.3,-1,0.1,0,0.3,-0.2,0,0.4,0.2,0.7,-0.2,0.37,1.05,0.36,0.85,0.49,0.11,0.11,0.83,0.41,0.33,0.59,0.09,-0.2,0.15,0.08
Tháng_11,%,0.1,0.9,0.3,0.1,0.4,0.9,0.2,0.3,0.6,0.2,0.4,0.6,1.2,-0.8,0.55,1.86,0.39,0.47,0.34,-0.27,0.07,0.48,0.13,-0.29,0.96,-0.01,0.32,0.39,0.25
Tháng_12,%,0.3,1,1,0.8,0.5,0.1,1,0.3,0.8,0.6,0.8,0.5,2.9,-0.7,1.38,1.98,0.53,0.27,0.51,-0.24,0.02,0.23,0.21,-0.25,1.4,0.1,-0.18,-0.01,0.12
Bình_quân_tháng,%,1,0.4,0.3,0.7,0,0,0.1,0.3,0.2,0.8,0.7,0.5,1,1.5,0.53,0.93,1.4,0.55,0.49,0.25,0.63,2.66,3.53,3.54,2.79,0.02,0.15,0.37,0.29
Tháng_12_năm_báo_cáo_so_với_tháng_12_năm_trước,%,12.7,4.5,3.6,9.2,0.1,-0.6,0.8,4,3,9.5,8.4,6.6,12.6,19.9,6.52,11.75,18.13,6.81,6.04,1.84,0.6,4.74,2.6,2.98,5.23,0.19,1.81,4.55,3.58
